marka,model,il,yurus,muherrik,qiymet
Changan,Qiyuan Q05,2025,0,1.5,23200
Changan,Uni-Z,2025,0,1.5,34300
Porsche,Cayenne,2019,154000,3.0,78777
Mitsubishi,L200,2024,0,2.4,61030
Ford,Fusion (North America),2016,222089,2.0,20700
Toyota,Prius,2008,316000,1.5,10900
Ford,Fusion (North America),2019,60300,2.0,21900
Toyota,Land Cruiser,2014,161000,4.0,55250
BMW,430,2019,87000,2.0,37910
Kia,K5,2020,163000,1.6,29300
Audi,Q8,2018,68000,3.0,88400
Mercedes,Sprinter 318,2008,346000,3.0,31000
Lynk,& Co 05,2025,0,2.0,67900
Mercedes,E 300 de,2021,64000,2.0,82450
Mercedes,C 250,2014,196000,1.8,22500
JMC,Grand Avenue,2025,0,2.3,63900
Mercedes,E 250,2015,209000,2.1,31500
BMW,X5,2018,105000,3.0,93500
Hyundai,Sonata,2020,51321,1.6,34900
Kia,Optima,2016,103000,2.0,23800
Mercedes,GL 320 4MATIC,2007,228049,3.0,25800
Chevrolet,Malibu,2019,159000,1.5,18500
Nissan,Tiida,2012,101873,1.5,12800
LADA,(VAZ) Niva,2023,11867,1.7,21000
Volkswagen,Passat,2023,42000,1.4,46900
Hyundai,Elantra,2015,108121,2.0,19700
Li,Auto L7,2025,0,1.5,92650
Mercedes,C 180,1999,322127,1.8,12500
Mercedes,E 350 e,2025,0,2.0,169003
JMC,Grand Avenue Pro,2025,0,2.3,75900
Mercedes,S 350,2011,197600,3.5,28500
Audi,A8,2019,127000,3.0,70000
Toyota,Camry,2018,173000,2.5,40500
Toyota,Corolla,2022,105212,1.8,25300
Yamaha,R15 V4,2025,4092,1503,6000
BMW,528,2015,150000,2.0,29300
Ford,Mustang,1969,4555,5.8,212500
Changan,Deepal S7,2025,0,1.5,44880
Suzuki,GSX-8R,2024,0,8003,25700
Chevrolet,Cruze,2016,271000,1.4,15800
Ford,Fusion (North America),2019,190000,1.5,20900
Renault,Duster,2015,146365,2.0,14950
Nissan,Sunny,2011,147000,1.6,16000
BMW,530e,2020,68000,2.0,70550
Nissan,Kicks,2021,34323,1.6,24500
Kia,Sportage,2019,98000,2.0,31900
Mercedes,Viano,2007,762788,2.2,28400
Yamaha,R15 V4,2025,4092,1503,6000
Toyota,Corolla,2024,24000,1.8,29700
Kia,Niro,2017,165000,1.6,24300
Toyota,Camry,2024,10500,2.5,60500
BMW,750e xDrive,2024,0,3.0,374000
Kia,Sorento,2015,129000,2.0,30000
Changan,Qiyuan A05,2024,0,1.5,25000
Nissan,X-Trail,2001,205000,2.0,10900
BMW,X5,2023,28000,3.0,139400
BMW,X7,2019,55000,3.0,106000
Hyundai,Tucson,2024,0,1.6,49900
